OUI,Manufacturer,Country
0C2E57,"HUAWEI TECHNOLOGIES CO.,LTD",CN
E8D775,"HUAWEI TECHNOLOGIES CO.,LTD",CN
64EC65,"vivo Mobile Communication Co., Ltd.",CN
F42462,"Selcom Electronics (Shanghai) Co., Ltd",CN
F4A17F,Marquardt Electronics Technology (Shanghai) Co.Ltd,CN
48BCE1,"Samsung Electronics Co.,Ltd",KR
B838EF,ADVA Optical Networking Ltd.,GB
084218,Asyril SA,CH
D85B22,"Shenzhen Hohunet Technology Co., Ltd",CN
D0D003,"Samsung Electronics Co.,Ltd",KR
5C76D5,Nokia,CA
8C7A00,Nokia,CA
A4FC14,"Apple, Inc.",US
A81AF1,"Apple, Inc.",US
705846,Trig Avionics Limited,GB
0891A3,Amazon Technologies Inc.,US
0CD923,GOCLOUD Networks(GAOKE Networks),CN
84398F,"Fortinet, Inc.",US
B4EDD5,"Quectel Wireless Solutions Co.,Ltd.",CN
2CD1C6,"Murata Manufacturing Co., Ltd.",JP
B85CEE,"Baidu Online Network Technology (Beijing) Co., Ltd",CN
CC08FA,"Apple, Inc.",US
909B6F,"Apple, Inc.",US
7473B4,"Apple, Inc.",US
F83C80,"MITSUMI ELECTRIC CO.,LTD.",JP
D83ADD,Raspberry Pi Trading Ltd,GB
70F8AE,Microsoft Corporation,US
000F2A,Cableware Electronics,US
BC64D9,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
301F48,zte corporation,CN
7CC74A,"Fiberhome Telecommunication Technologies Co.,LTD",CN
38FC34,"Huawei Device Co., Ltd.",CN
3CF692,"Huawei Device Co., Ltd.",CN
940EE7,"HUAWEI TECHNOLOGIES CO.,LTD",CN
A8B271,"HUAWEI TECHNOLOGIES CO.,LTD",CN
6405E4,"ALPSALPINE CO,.LTD",JP
DCAC6F,Everytale Inc,US
F41532,"PETAiO (NanJing), Inc.",CN
2CAB33,Texas Instruments,US
28B5E8,Texas Instruments,US
08C3B3,"TCL King Electrical Appliances(Huizhou)Co.,Ltd",CN
204569,ITEL MOBILE LIMITED,HK
D46352,Vutility Inc.,US
D821DA,SERNET (SUZHOU) TECHNOLOGIES CORPORATION,CN
08F1B3,Cisco Meraki,US
BCE8FA,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
505A65,AzureWave Technology Inc.,TW
C4A559,IEEE Registration Authority,US
6C0C9A,Amazon Technologies Inc.,US
CC00F1,Sagemcom Broadband SAS,FR
308216,"Apple, Inc.",US
8CD0B2,"Beijing Xiaomi Mobile Software Co., Ltd",CN
C4A052,"Motorola Mobility LLC, a Lenovo Company",US
84900A,Arcadyan Corporation,TW
787689,eero inc.,US
8076C2,"GD Midea Air-Conditioning Equipment Co.,Ltd.",CN
F04A3D,Bosch Thermotechnik GmbH,DE
941FA2,"Wuhan YuXin Semiconductor Co., Ltd.",CN
B49DFD,"Shenzhen SDMC Technology CO.,Ltd.",CN
F41A9C,Xiaomi Communications Co Ltd,CN
001AEB,Allied Telesis K.K.,JP
DC0682,Accessia Technology Ltd.,GB
44D267,Snorble,US
B0BC7A,Harman/Becker Automotive Systems GmbH,DE
487706,NXP Semiconductor (Tianjin) LTD.,CN
0CCC47,IEEE Registration Authority,US
5C3E06,"Cisco Systems, Inc",US
C828E5,"Cisco Systems, Inc",US
B0FC88,Sagemcom Broadband SAS,FR
34873D,"Quectel Wireless Solutions Co.,Ltd.",CN
C44137,"Quectel Wireless Solutions Co.,Ltd.",CN
6CD199,"vivo Mobile Communication Co., Ltd.",CN
